sector,site,stack,ktCO2f,ktCO2cem,ktCO2pl,ktCO2b,MAC,CAPEX,OPEX,invested,year_invest,ktCO2f_inc,ktCO2f_ccs,ktCO2cem_ccs,ktCO2pl_ccs,ktCO2b_ccs,ktCO2tot_ccs,ktCO2f_res,ktCO2cem_res,ktCO2pl_res
cement,Padeswood,Padeswood-cement,198.1474622208,297.22119333119997,0.0,0.0,0.0,274.9899507964396,88.41410526550843,False,,0.0,188.24008910976,282.36013366463993,0.0,227.65566412541133,698.2558868998112,9.907373111040009,14.861059666560012,0.0
ccgt,Teeside,Teeside-ccgt,2222.222222222222,0.0,0.0,0.0,0.0,1039.9827587769325,137.71225408191776,False,,0.0,2111.111111111111,0.0,0.0,0.0,2111.111111111111,111.11111111111121,0.0,0.0
waste,Protos,Protos-waste,0.0,0.0,172.05,197.94999999999996,0.0,142.5127607898205,62.50660590278319,False,,0.0,0.0,0.0,163.4475,188.05249999999995,351.49999999999994,0.0,0.0,8.602500000000008
waste,Runcorn,Runcorn-waste,0.0,0.0,433.37070000000006,498.60929999999996,90.244124510926,294.9211861768855,60.1561682939554,False,,0.0,0.0,0.0,411.70216500000004,473.67883499999994,885.381,0.0,0.0,21.668535000000023
waste,Tees Valley,Tees Valley-waste,0.0,0.0,320.3571,368.58289999999994,94.35039653920333,231.64021410884564,62.381631030657,False,,0.0,0.0,0.0,304.339245,350.15375499999993,654.4929999999999,0.0,0.0,16.017855000000015
waste,Wilton 11,Wilton 11-waste,0.0,0.0,188.2041,216.53589999999997,97.8112826314416,152.69238230053853,61.941020306844536,False,,0.0,0.0,0.0,178.793895,205.70910499999997,384.50299999999993,0.0,0.0,9.410205000000008
waste,Parc Adfer,Parc Adfer-waste,0.0,0.0,94.32990000000001,108.53009999999999,104.80887316077136,90.96206721544846,62.17476235679955,False,,0.0,0.0,0.0,89.613405,103.10359499999998,192.71699999999998,0.0,0.0,4.7164950000000045
refinery,Stanlow Refinery,Stanlow Refinery-FCC,370.5111178781192,0.0,0.0,0.0,105.87545071242498,118.90736685008665,75.36133233350724,False,,0.0,351.98556198421323,0.0,0.0,0.0,351.98556198421323,18.525555893905977,0.0,0.0
refinery,South Killingholme,South Killingholme-HPU,192.95854619611288,0.0,0.0,0.0,106.0030093981359,67.83757378358187,72.57584035100624,False,,0.0,183.31061888630722,0.0,0.0,0.0,183.31061888630722,9.647927309805652,0.0,0.0
refinery,Stanlow Refinery,Stanlow Refinery-HPU,178.4660881926019,0.0,0.0,0.0,106.3344261094284,64.31921768097564,72.06724672209455,False,,0.0,169.54278378297178,0.0,0.0,0.0,169.54278378297178,8.923304409630102,0.0,0.0
refinery,South Killingholme,South Killingholme-FCC,400.5987209071473,0.0,0.0,0.0,106.55274099384641,126.12177325908984,76.61811619386884,False,,0.0,380.56878486178994,0.0,0.0,0.0,380.56878486178994,20.029936045357385,0.0,0.0
refinery,Eastham,Eastham-FCC,123.50370595937304,0.0,0.0,0.0,120.51243271787405,54.740146279094404,78.37003192586602,False,,0.0,117.32852066140438,0.0,0.0,0.0,117.32852066140438,6.175185297968658,0.0,0.0
steel,Scunthorpe Power Station,Scunthorpe Power Station-power,1644.48358347,0.0,0.0,0.0,121.3630576192034,489.023855090446,98.38205499693034,False,,378.7889308363664,1922.108888591048,0.0,0.0,0.0,1922.108888591048,101.16362571531842,0.0,0.0
steel,Scunthorpe Blast Furnaces,Scunthorpe Blast Furnaces-blast,1046.557701918,0.0,0.0,0.0,124.72195550113278,342.1334412968136,99.45803085888207,False,,241.06319877732955,1223.239855660563,0.0,0.0,0.0,1223.239855660563,64.38104503476653,0.0,0.0
waste,Ferrybridge FM1,Ferrybridge FM1-waste,0.0,0.0,300.30629999999996,345.5136999999999,124.87491032870912,220.06429973189324,85.47592471597164,False,,0.0,0.0,0.0,285.290985,328.2380149999999,613.5289999999999,0.0,0.0,15.015315000000012
waste,Ferrybridge FM2,Ferrybridge FM2-waste,0.0,0.0,298.4835,343.4164999999999,124.91838323702567,219.00588534822015,85.47831797699118,False,,0.0,0.0,0.0,283.559325,326.2456749999999,609.8049999999998,0.0,0.0,14.924175000000012
waste,Great Blakenham,Great Blakenham-waste,0.0,0.0,134.43150000000003,154.6685,128.45334355245058,118.1725817577399,82.58805099034674,False,,0.0,0.0,0.0,127.70992500000003,146.93507499999998,274.645,0.0,0.0,6.721575000000008
refinery,Stanlow Refinery,Stanlow Refinery-scattered,700.2854112774922,0.0,0.0,0.0,128.96095957783092,298.7057892804576,95.99717779046415,False,,161.3031378874482,818.5091217066933,0.0,0.0,0.0,818.5091217066933,43.07942745824706,0.0,0.0
refinery,Eastham,Eastham-HPU,59.48869606420063,0.0,0.0,0.0,129.66817837642208,33.02584172124457,76.88290749706321,False,,0.0,56.514261260990594,0.0,0.0,0.0,56.514261260990594,2.974434803210034,0.0,0.0
refinery,South Killingholme,South Killingholme-scattered,757.1525562695299,0.0,0.0,0.0,130.27215106733345,318.2898415650373,97.78528224600822,False,,174.4018670372996,884.976702141488,0.0,0.0,0.0,884.976702141488,46.577721165341515,0.0,0.0
waste,Allerton Park,Allerton Park-waste,0.0,0.0,123.4947,142.08529999999996,130.3213683610397,110.90006028170366,83.61778317978069,False,,0.0,0.0,0.0,117.319965,134.98103499999996,252.30099999999996,0.0,0.0,6.174735000000005
